regime,tau,sigma,n_days,in_pool
early_2011,0.7426890544632289,0.19154902942845056,623,false
apr_2013,0.6799304570986028,0.19121955123877624,211,false
mtgox_2014,0.6703946839096148,0.21958155215940994,1183,true
ico_2018,0.6744864964154941,0.1869362254919828,1081,true
fed_2022,0.6948732813933847,0.21540333299067405,848,true
pool_n3,0.6799181539061645,0.20730703688068894,,false
