regime,scenario_id,starting_bcr,date,day_index,days_from_peak,is_last_day_of_month,price_usd,price_normalized,drawdown_from_peak,running_min_price_normalized,running_max_drawdown,daily_return,realized_vol_30d,btc_price_regime_pctile,bitcoin_coverage_ratio,bcr_min_so_far,btc_reserve_index,btc_held_index,btc_reserve_usd,btc_held,btc_value_usd,annual_obligation_usd,monthly_obligation_usd,is_payment_day,monthly_obligation_over_annual,btc_sold_today_fraction,btc_sold_today_usd,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_over_annual,cumulative_payments_usd,btc_held_mechanical,btc_held_index_mechanical,btc_value_usd_mechanical,btc_sold_today_fraction_mechanical,btc_sold_today_usd_mechanical,cumulative_btc_sold_fraction_mechanical,cumulative_btc_sold_usd_mechanical,is_trough_day,is_bcr_min_day,is_recovery_day,is_primary_failure_day,has_failed_primary,reached_recovery,is_terminal_liquidity_day,has_reached_terminal_liquidity,days_to_trough,days_to_bcr_min,days_to_recovery,days_to_primary_failure,days_to_terminal_liquidity
early_2011,early_2011_bcr1.0,1,2011-06-08,0,0,false,29.0299,1,0,1,0,,,1,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,997260273.9726028,1000000000,83333333.33333333,true,0.0027397260273972603,0.0027397260273972616,2739726.0273972615,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,34352866.319642946,0.9972602739726028,997260273.9726028,0.00273972602739726,2739726.02739726,0.002739726027397249,2739726.02739726,false,true,false,true,true,false,false,false,,0,,0,
early_2011,early_2011_bcr1.0,1,2011-06-30,22,22,true,16.1853,0.5575389512192601,0.4424610487807399,0.5080864901360321,0.49191350986396787,-0.03971022747499198,,0.5229453886379843,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,556011447.243317,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,30977271.508562934,0.8992670941664311,501376432.5475437,0.0049139634484834825,2739726.02739726,0.10073290583356886,63013698.63013698,false,false,false,false,true,false,false,false,,0,,0,
early_2011,early_2011_bcr1.0,1,2011-07-31,53,53,true,13.3729,0.46065952690157386,0.5393404730984261,0.44660160730832693,0.553398392691673,-0.012363093875320419,0.6944885921582091,0.41849150225814113,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,459397446.00595313,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,24910930.183459997,0.7231618121328254,333131378.2503922,0.0059473990385585564,2739726.02739726,0.2768381878671746,147945205.47945213,false,false,false,false,true,false,false,false,,0,,0,
early_2011,early_2011_bcr1.0,1,2011-08-31,84,84,true,8.1992,0.282439829279467,0.717560170720533,0.23989748500683777,0.7601025149931622,-0.06931974256234474,2.2254221857222363,0.2263378000950796,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,281666021.52801645,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,16253984.762472462,0.4718515522560993,133269671.8644642,0.009700211313633003,2739726.02739726,0.5281484477439007,232876712.3287676,false,false,false,false,true,false,false,false,,0,,0,
early_2011,early_2011_bcr1.0,1,2011-09-30,114,114,true,5.1437,0.1771862803523264,0.8228137196476736,0.16337638090382672,0.8366236190961733,0.07660589823555264,1.6821825568704607,0.11285506299025433,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,176700838.4883474,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,1917816.6375454513,0.055674025206280696,9864673.438542537,0.015462405000824256,2739726.0273972605,0.9443259747937193,315068493.15068585,false,false,false,false,true,false,false,false,,0,,0,
early_2011,early_2011_bcr1.0,1,2011-10-04,118,118,false,4.9568,0.17074809076159408,0.8292519092384059,0.16337638090382672,0.8366236190961733,-0.013140081229592981,1.6673629487940926,0.10591350724982172,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,170280287.77320617,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,0,0,0,0.008156152475912759,1392647.463222552,1,324680318.69610023,false,false,false,false,true,false,true,true,,0,,0,118
early_2011,early_2011_bcr1.0,1,2011-10-31,145,145,true,3.2651,0.1124736909186735,0.8875263090813265,0.07637987040947436,0.9236201295905256,0.0023638484681034466,1.908889563796406,0.04308295697646778,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,112165543.82026617,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,0,0,0,0,0,1,324680318.69610023,false,false,false,false,true,false,false,true,,0,,0,118
early_2011,early_2011_bcr1.0,1,2011-11-18,163,163,false,2.1051,0.07251488982049542,0.9274851101795045,0.07251488982049542,0.9274851101795045,-0.07634592602343027,1.8587018430226847,0,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,72316218.88948037,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,0,0,0,0,0,1,324680318.69610023,true,false,false,false,true,false,false,true,163,0,,0,118
early_2011,early_2011_bcr1.0,1,2011-11-30,175,175,true,2.966,0.10217052073896224,0.8978294792610377,0.07251488982049542,0.9274851101795045,0.07553395945896968,1.3638984249806632,0.031974239362966485,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,101890601.50406098,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,0,0,0,0,0,1,324680318.69610023,false,false,false,false,true,false,false,true,163,0,,0,118
early_2011,early_2011_bcr1.0,1,2011-12-31,206,206,true,4.7143,0.16239463449753527,0.8376053655024647,0.07251488982049542,0.9274851101795045,0.09365285575093951,0.8381871638402867,0.0969069408129308,0.9972602739726029,0.9972602739726029,0.9972602739726029,0.9972602739726028,997260273.9726028,34352866.319642946,161949717.69069272,1000000000,83333333.33333333,true,0.0027397260273972603,0,0,0.002739726027397249,2739726.0273972615,0.0027397260273972616,2739726.0273972615,0,0,0,0,0,1,324680318.69610023,false,false,false,false,true,false,false,true,163,0,,0,118
