regime,scenario_id,starting_bcr,terminal_state,peak_date,peak_price_usd,trough_date,trough_price_usd,max_drawdown_from_peak,days_to_trough,min_bcr,min_bcr_date,days_to_bcr_min,primary_failure_date,days_to_primary_failure,terminal_liquidity_date,days_to_terminal_liquidity,primary_to_terminal_gap_days,recovery_date,days_to_recovery,terminal_date,terminal_bcr,terminal_btc_reserve_index,terminal_btc_held_index,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_usd,cumulative_payments_over_annual,annual_obligation_usd,monthly_obligation_usd,btc_at_peak,required_starting_bcr_lo,required_starting_bcr_hi,required_starting_bcr_terminal_lo,required_starting_bcr_terminal_hi,scenarios_total,days_below_bcr_1,days_below_bcr_2,days_below_bcr_5,time_weighted_avg_bcr
early_2011,early_2011_bcr1.0,1,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9972602739726029,2011-06-08,0,2011-06-08,0,2011-10-04,118,118,,,2015-06-08,0.9972602739726029,0.9972602739726029,0.9972602739726028,0.002739726027397249,2739726.0273972615,2739726.0273972615,0.0027397260273972616,1000000000,83333333.33333333,34447242.32601559,15.9,16,7.9,8,245,1462,1462,1462,0.9972602739726264
early_2011,early_2011_bcr1.1,1.1,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9039810888790284,2011-06-10,2,2011-06-10,2,2011-10-10,124,122,,,2015-06-08,0.9039810888790284,0.8218009898900257,0.991991507331096,0.008008492668904021,7471980.074719757,7471980.074719757,0.008219178082191733,909090909.090909,75757575.75757575,34447242.32601559,15.9,16,7.9,8,245,1460,1462,1462,0.904237429440566
early_2011,early_2011_bcr1.2,1.2,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9868246398385561,2011-06-10,2,2011-06-10,2,2011-10-15,129,127,,,2015-06-08,0.9868246398385561,0.8223538665321302,0.9926588817201712,0.007341118279828751,6849315.068493202,6849315.068493202,0.008219178082191842,833333333.3333334,69444444.44444445,34447242.32601559,15.9,16,7.9,8,245,1460,1462,1462,0.9871038861669096
early_2011,early_2011_bcr1.3,1.3,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.6532968035248787,2011-06-11,3,2011-06-11,3,2011-10-18,132,129,,,2015-06-08,0.6532968035248787,0.5025360027114452,0.9890757035812918,0.01092429641870818,8429926.238145303,8429926.238145303,0.010958904109588895,769230769.2307692,64102564.1025641,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.6544533428716668
early_2011,early_2011_bcr1.4,1.4,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.7041054525384817,2011-06-11,3,2011-06-11,3,2011-10-21,135,132,,,2015-06-08,0.7041054525384817,0.5029324660989155,0.9898560104683423,0.010143989531657738,7827788.649706521,7827788.649706521,0.010958904109589128,714285714.2857144,59523809.52380953,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.7053506327449892
early_2011,early_2011_bcr1.5,1.5,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.7549141015520852,2011-06-11,3,2011-06-11,3,2011-10-25,139,136,,,2015-06-08,0.7549141015520852,0.5032760677013901,0.9905322764371196,0.009467723562880392,7305936.07305922,7305936.07305922,0.010958904109588831,666666666.6666666,55555555.55555555,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.756247922618351
early_2011,early_2011_bcr1.6,1.6,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.8057227505656884,2011-06-11,3,2011-06-11,3,2011-10-29,143,140,,,2015-06-08,0.8057227505656884,0.5035767191035553,0.9911240091597997,0.008875990840200298,6849315.068493021,6849315.068493021,0.010958904109588833,625000000,52083333.333333336,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.8071452124916951
early_2011,early_2011_bcr1.7,1.7,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.8565313995792917,2011-06-11,3,2011-06-11,3,2011-11-02,147,144,,,2015-06-08,0.8565313995792917,0.5038419997525245,0.9916461262680468,0.008353873731953176,6446414.18211105,6446414.18211105,0.010958904109588784,588235294.117647,49019607.84313726,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.8580425023650221
early_2011,early_2011_bcr1.8,1.8,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9073400485928945,2011-06-11,3,2011-06-11,3,2011-11-06,151,148,,,2015-06-08,0.9073400485928945,0.5040778047738302,0.992110230364266,0.007889769635733956,6088280.060882964,6088280.060882964,0.010958904109589334,555555555.5555556,46296296.2962963,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.9089397922383868
early_2011,early_2011_bcr1.9,1.9,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.958148697606498,2011-06-11,3,2011-06-11,3,2011-11-10,155,152,,,2015-06-08,0.958148697606498,0.5042887882139463,0.992525481397726,0.007474518602273994,5767844.268204651,5767844.268204651,0.010958904109588836,526315789.47368425,43859649.12280702,34447242.32601559,15.9,16,7.9,8,245,1459,1462,1462,0.9598370821116957
early_2011,early_2011_bcr2.0,2,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.8961892497994887,2011-07-04,26,2011-07-04,26,2011-11-13,158,132,,,2015-06-08,0.8961892497994887,0.44809462489974433,0.9390262005787341,0.060973799421265906,36986301.36986297,36986301.36986297,0.07397260273972595,500000000,41666666.666666664,34447242.32601559,15.9,16,7.9,8,245,1436,1462,1462,0.9020892164966133
early_2011,early_2011_bcr2.1,2.1,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9439083256488718,2011-07-04,26,2011-07-04,26,2011-11-16,161,135,,,2015-06-08,0.9439083256488718,0.44948015507089134,0.9419297148368898,0.05807028516311019,35225048.923678935,35225048.923678935,0.07397260273972577,476190476.1904762,39682539.68253968,34447242.32601559,15.9,16,7.9,8,245,1436,1460,1462,0.9500810266199605
early_2011,early_2011_bcr2.2,2.2,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9916274014982546,2011-07-04,26,2011-07-04,26,2011-11-19,164,138,,,2015-06-08,0.9916274014982546,0.45073972795375206,0.9445692732533947,0.05543072674660532,33623910.33623908,33623910.33623908,0.07397260273972597,454545454.5454545,37878787.878787875,34447242.32601559,15.9,16,7.9,8,245,1436,1460,1462,0.998072836743367
early_2011,early_2011_bcr2.3,2.3,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.969981977131289,2011-07-05,27,2011-07-05,27,2011-11-22,167,140,,,2015-06-08,0.969981977131289,0.42173129440490825,0.9443120837533202,0.05568791624667979,33353186.420488372,33353186.420488372,0.07671232876712325,434782608.6956522,36231884.057971016,34447242.32601559,15.9,16,7.9,8,245,1435,1460,1462,0.9779811599922424
early_2011,early_2011_bcr2.4,2.4,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9949655314023639,2011-07-28,50,2011-07-28,50,2011-11-25,170,120,,,2015-06-08,0.9949655314023639,0.41456897141765164,0.8920288018735573,0.10797119812644274,58219178.08219189,58219178.08219189,0.13972602739726053,416666666.6666667,34722222.222222224,34447242.32601559,15.9,16,7.9,8,245,1412,1460,1462,1.0047104564188392
early_2011,early_2011_bcr2.5,2.5,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9942863039740307,2011-08-01,54,2011-08-01,54,2011-11-28,173,119,,,2015-06-08,0.9942863039740307,0.3977145215896123,0.8868211159215527,0.11317888407844734,60273972.60273988,60273972.60273988,0.1506849315068497,400000000,33333333.333333332,34447242.32601559,15.9,16,7.9,8,245,1408,1459,1462,1.0060794473435317
early_2011,early_2011_bcr2.6,2.6,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9721498252704917,2011-08-02,55,2011-08-02,55,2011-12-02,177,122,,,2015-06-08,0.9721498252704917,0.37390377895018906,0.8886696887676715,0.1113303112323285,59009483.667017974,59009483.667017974,0.15342465753424675,384615384.6153846,32051282.05128205,34447242.32601559,15.9,16,7.9,8,245,1407,1459,1462,0.9868432341087984
